label,greenwash
own,1
2,1
14,0
own,1
14,0
own,1
13,0
6,0
own,1
6,0
6,1
7,0
8,1
6,1
own,1
own,0
own,0
12,0
own,1
own,1
5,1
own,1
14,1
5,0
8,0
own,1
own,1
6,1
6,0
14,1
own,0
own,0
13,0
own,1
own,1
16,0
own,1
16,0
own,1
own,0
14,0
own,1
17,0
own,1
6,1
13,0
6,0
14,0
own,0
own,1
14,0
14,1
2,0
2,1
own,1
8,0
2,0
own,1
own,0
14,0
14,0
own,0
own,0
own,1
14,0
own,0
own,1
own,1
own,0
own,0
own,0
6,1
12,0
own,1
14,0
14,0
own,0
own,1
own,0
13,1
13,1
13,1
own,0
own,0
own,0
2,0
2,1
own,1
own,0
own,0
own,0
14,1
6,1
own,1
own,1
6,0
own,0
own,1
own,1
